Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.8,No
No,67,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.45,No
No,7,No,No,DSL,No,No,Month-to-month,Yes,66.85,No
No,51,No,Yes,Fiber optic,No,No,One year,Yes,90.35,No
No,65,Yes,Yes,Fiber optic,No,Yes,One year,Yes,89.85,No
Yes,0,No,Yes,DSL,Yes,Yes,Two year,No,73.35,No
No,16,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.6,No
No,52,Yes,No,Fiber optic,Yes,Yes,One year,Yes,104.45,No
No,41,No,Yes,DSL,No,Yes,One year,No,35.45,No
No,25,No,Yes,Fiber optic,Yes,No,Month-to-month,No,88.4,No
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.35,No
No,17,No,No,Fiber optic,No,No,Month-to-month,No,70.5,No
No,67,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.1,No
No,62,No,No,DSL,No,Yes,Two year,Yes,39.0,No
No,51,Yes,Yes,DSL,Yes,Yes,Two year,Yes,83.25,No
No,25,Yes,No,Fiber optic,No,No,Month-to-month,No,74.3,No
No,66,Yes,Yes,Fiber optic,Yes,Yes,One year,No,115.8,No
Yes,25,Yes,No,DSL,No,Yes,Month-to-month,No,54.3,No
Yes,56,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.8,No
No,14,No,Yes,DSL,No,No,Month-to-month,No,50.45,No
No,1,No,Yes,Fiber optic,No,No,Month-to-month,Yes,86.0,Yes
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.55,Yes
No,64,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,103.5,No
No,1,No,Yes,Fiber optic,No,Yes,Month-to-month,No,91.7,Yes
No,43,No,No,DSL,No,Yes,One year,Yes,64.85,No
No,71,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.65,No
Yes,72,Yes,Yes,DSL,Yes,No,Two year,No,68.75,No
No,65,No,Yes,Fiber optic,Yes,No,One year,Yes,106.25,Yes
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,75.9,Yes
No,9,No,No,Fiber optic,No,No,Month-to-month,No,94.4,Yes
No,36,No,No,Fiber optic,No,No,Month-to-month,Yes,84.1,Yes
No,18,No,No,DSL,Yes,No,Month-to-month,Yes,49.55,Yes
No,41,No,No,DSL,Yes,No,One year,Yes,73.0,Yes
No,20,No,No,Fiber optic,No,No,Month-to-month,Yes,85.25,Yes
Yes,52,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.6,No
No,1,No,Yes,Fiber optic,No,No,Month-to-month,No,74.35,No
Yes,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.45,No
No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,84.45,Yes
No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,74.55,Yes
No,2,No,Yes,DSL,No,No,Month-to-month,No,49.2,No
No,8,No,No,DSL,Yes,Yes,Month-to-month,No,64.1,No
Yes,50,No,Yes,Fiber optic,Yes,Yes,One year,Yes,103.4,No
No,9,No,No,Fiber optic,Yes,No,Month-to-month,Yes,73.8,No
No,7,No,No,Fiber optic,Yes,No,Month-to-month,Yes,74.9,No
Yes,30,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,94.4,Yes
No,2,No,No,Fiber optic,No,No,Month-to-month,No,70.75,Yes
Yes,49,Yes,Yes,DSL,Yes,Yes,One year,Yes,87.2,No
No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.75,No
Yes,1,Yes,No,DSL,No,Yes,Month-to-month,No,54.5,No
No,2,No,Yes,DSL,No,No,Month-to-month,Yes,59.0,No
Yes,41,Yes,No,DSL,Yes,No,One year,No,35.4,No
No,60,Yes,Yes,DSL,No,Yes,Two year,Yes,61.35,No
Yes,72,Yes,Yes,Fiber optic,Yes,No,Two year,No,109.55,No
No,7,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.8,Yes
No,63,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,110.1,No
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,85.45,Yes
No,71,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.15,No
Yes,26,No,Yes,DSL,No,No,One year,Yes,39.95,No
No,7,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.9,No
No,5,Yes,No,DSL,Yes,No,Month-to-month,No,55.8,No
No,59,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.45,No
No,36,Yes,Yes,DSL,Yes,Yes,One year,No,85.85,No
No,1,No,No,DSL,No,No,Month-to-month,Yes,36.45,Yes
No,19,No,No,DSL,Yes,No,Month-to-month,Yes,39.65,Yes
No,49,No,No,DSL,Yes,Yes,Two year,Yes,74.45,No
Yes,35,Yes,No,DSL,No,Yes,Two year,Yes,46.35,No
No,57,No,Yes,DSL,Yes,No,Two year,Yes,79.75,No
No,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.0,No
Yes,67,No,Yes,Fiber optic,No,No,Month-to-month,Yes,89.55,No
No,59,Yes,Yes,Fiber optic,Yes,No,One year,Yes,82.95,No
Yes,6,No,Yes,Fiber optic,No,No,Month-to-month,Yes,83.55,Yes
Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,65.25,No
No,2,Yes,Yes,DSL,No,No,Month-to-month,Yes,42.6,Yes
Yes,23,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.65,No
No,51,No,Yes,Fiber optic,Yes,Yes,One year,Yes,111.5,No
No,72,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,102.65,No
Yes,15,No,No,DSL,No,No,Month-to-month,No,46.3,No
Yes,65,No,Yes,DSL,Yes,Yes,Two year,Yes,84.2,No
No,26,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.85,Yes
Yes,58,Yes,No,DSL,Yes,Yes,Two year,No,75.8,No
No,52,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,104.2,Yes
Yes,61,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.1,No
No,18,No,No,Fiber optic,No,No,Month-to-month,No,78.55,Yes
No,20,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.25,No
No,55,Yes,Yes,DSL,No,Yes,Two year,No,56.8,No
Yes,72,Yes,No,DSL,Yes,Yes,Two year,No,66.85,No
Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.7,No
Yes,27,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.6,No
No,52,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,102.7,No
No,44,No,Yes,DSL,Yes,No,One year,Yes,53.95,Yes
Yes,11,No,No,Fiber optic,Yes,No,Month-to-month,Yes,78.1,No
No,41,No,No,DSL,Yes,No,One year,Yes,51.35,No
Yes,7,No,No,DSL,No,No,Month-to-month,No,48.8,No
No,10,No,No,Fiber optic,No,Yes,Month-to-month,Yes,95.1,No
No,6,Yes,No,Fiber optic,No,No,Month-to-month,Yes,85.15,Yes
No,53,Yes,Yes,Fiber optic,No,Yes,One year,Yes,96.75,No
No,18,No,No,Fiber optic,No,No,Month-to-month,Yes,75.6,No
No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,76.95,Yes
No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,88.4,No
Yes,5,No,No,Fiber optic,No,No,Month-to-month,Yes,80.85,No
No,18,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.0,No
No,50,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,83.4,No
No,2,No,No,DSL,No,No,Month-to-month,Yes,45.4,No
No,44,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.5,No
Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.05,No
No,64,Yes,No,Fiber optic,No,No,Month-to-month,Yes,73.55,No
Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,26.25,No
No,66,No,Yes,Fiber optic,Yes,Yes,One year,Yes,110.85,Yes
Yes,41,Yes,No,DSL,No,Yes,One year,Yes,74.7,No
No,54,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.65,No
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.65,No
No,26,No,No,Fiber optic,Yes,No,Month-to-month,Yes,98.35,Yes
Yes,70,Yes,No,DSL,Yes,No,Two year,No,68.95,No
No,8,No,No,Fiber optic,Yes,No,Month-to-month,Yes,94.45,Yes
No,16,No,No,Fiber optic,No,No,Month-to-month,Yes,84.75,Yes
No,62,No,No,Fiber optic,Yes,No,One year,Yes,96.75,Yes
No,12,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,98.1,Yes
Yes,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,24.4,No
Yes,7,Yes,No,DSL,No,No,Month-to-month,No,69.7,No
No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.05,No
No,12,Yes,No,Fiber optic,No,No,Month-to-month,Yes,78.95,Yes
No,12,No,No,DSL,Yes,Yes,Month-to-month,Yes,43.65,Yes
No,28,No,No,Fiber optic,No,No,Month-to-month,Yes,80.6,No
No,24,No,Yes,DSL,No,No,Month-to-month,Yes,69.45,No
No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,80.6,Yes
Yes,23,No,No,DSL,No,Yes,Month-to-month,Yes,30.35,No
Yes,2,No,No,DSL,No,Yes,Month-to-month,No,29.05,No
No,18,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.1,No
No,40,No,Yes,Fiber optic,No,Yes,One year,Yes,99.2,Yes
No,17,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.15,No
Yes,63,Yes,Yes,DSL,Yes,Yes,Two year,No,63.55,No
No,11,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.55,No
No,52,Yes,No,DSL,Yes,No,One year,No,35.45,No
No,6,No,No,DSL,No,Yes,Month-to-month,No,50.05,No
No,46,Yes,No,DSL,Yes,No,Two year,No,79.2,No
No,56,No,Yes,Fiber optic,Yes,No,One year,Yes,104.75,Yes
No,46,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,93.7,Yes
No,1,No,No,DSL,Yes,Yes,Month-to-month,No,62.05,Yes
No,48,No,Yes,Fiber optic,Yes,No,One year,Yes,97.05,No
No,1,No,No,DSL,No,No,Month-to-month,Yes,45.65,Yes
Yes,44,No,Yes,DSL,No,Yes,Month-to-month,Yes,54.9,No
Yes,48,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.3,No
Yes,57,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,95.3,No
No,19,No,No,DSL,No,No,Month-to-month,Yes,45.0,No
Yes,10,Yes,No,Fiber optic,No,No,Month-to-month,Yes,100.25,Yes
No,40,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.6,No
No,70,No,Yes,Fiber optic,No,Yes,One year,Yes,105.55,No
No,35,No,No,DSL,Yes,No,Month-to-month,Yes,62.1,No
Yes,18,No,No,DSL,No,No,Month-to-month,Yes,45.65,No
Yes,13,No,No,DSL,No,No,One year,Yes,64.75,No
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.1,No
No,30,No,No,DSL,Yes,No,Month-to-month,Yes,50.0,No
Yes,67,Yes,No,DSL,Yes,Yes,Two year,No,67.85,No
No,24,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,89.25,No
No,63,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,108.25,No
No,16,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.2,Yes
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.9,No
Yes,55,No,No,Fiber optic,No,No,Two year,Yes,69.05,No
Yes,4,No,No,Fiber optic,No,No,Month-to-month,Yes,69.55,No
No,6,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,109.9,Yes
Yes,15,No,Yes,DSL,Yes,Yes,Month-to-month,No,76.5,No
No,9,No,No,Fiber optic,No,Yes,Month-to-month,Yes,95.9,No
No,34,Yes,Yes,DSL,No,Yes,One year,Yes,64.4,Yes
No,71,No,Yes,DSL,No,No,Two year,No,49.35,Yes
No,37,Yes,No,DSL,No,No,One year,No,64.65,No
No,31,No,No,Fiber optic,Yes,No,Month-to-month,No,88.65,No
No,10,No,No,Fiber optic,No,No,Month-to-month,No,85.55,Yes
Yes,67,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.3,No
Yes,14,No,No,Fiber optic,Yes,No,Month-to-month,Yes,87.25,Yes
No,15,Yes,No,DSL,Yes,Yes,Month-to-month,No,58.95,No
Yes,24,Yes,Yes,DSL,No,No,One year,No,78.4,No
No,9,No,No,DSL,No,Yes,Month-to-month,No,40.65,Yes
No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,86.8,Yes
Yes,35,Yes,Yes,DSL,Yes,Yes,Two year,Yes,69.15,No
Yes,52,Yes,Yes,DSL,Yes,No,Two year,No,79.2,No
Yes,67,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.8,No
Yes,13,No,No,Fiber optic,No,No,Month-to-month,Yes,78.3,No
No,19,Yes,No,DSL,Yes,No,Month-to-month,No,66.4,No
Yes,55,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.5,No
No,53,No,No,Fiber optic,No,No,One year,Yes,95.85,No
No,52,No,Yes,Fiber optic,No,No,One year,Yes,80.2,No
Yes,48,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.95,No
No,26,No,No,DSL,Yes,Yes,Month-to-month,Yes,44.45,No
No,39,No,No,Fiber optic,Yes,Yes,Two year,Yes,80.45,Yes
No,31,Yes,No,Fiber optic,No,No,Month-to-month,No,89.45,No
Yes,55,No,Yes,Fiber optic,Yes,Yes,One year,Yes,103.7,No
No,7,No,Yes,DSL,No,No,Month-to-month,Yes,40.1,Yes
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,74.45,Yes
Yes,2,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.85,Yes
No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.4,No
No,70,Yes,No,Fiber optic,No,No,Month-to-month,Yes,90.85,No
No,31,No,No,Fiber optic,Yes,Yes,Two year,No,99.45,No
No,29,No,No,Fiber optic,Yes,No,Month-to-month,Yes,98.6,Yes
No,4,Yes,No,Fiber optic,No,No,Month-to-month,No,75.35,No
No,9,Yes,No,DSL,No,No,Month-to-month,No,54.55,Yes
No,32,No,No,Fiber optic,Yes,No,Month-to-month,No,79.3,No
Yes,22,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.15,No
No,3,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.95,Yes
Yes,32,No,Yes,DSL,Yes,Yes,One year,No,83.7,No
No,32,No,Yes,Fiber optic,No,No,Month-to-month,Yes,98.85,No
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,18.85,No
No,7,No,No,DSL,No,No,Month-to-month,Yes,44.25,No
Yes,70,Yes,Yes,DSL,Yes,Yes,Two year,No,80.7,No
No,45,No,No,Fiber optic,Yes,No,Month-to-month,Yes,89.3,No
No,72,No,No,Fiber optic,Yes,No,Two year,Yes,97.85,No
No,3,No,No,DSL,No,No,Month-to-month,Yes,55.3,Yes
No,2,Yes,No,DSL,No,No,Month-to-month,Yes,62.15,No
No,27,Yes,No,DSL,No,No,One year,No,48.7,No
Yes,45,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.2,No
Yes,1,No,No,Fiber optic,No,No,Month-to-month,Yes,69.1,Yes
No,34,Yes,Yes,Fiber optic,Yes,Yes,One year,No,116.25,No
No,22,No internet service,No internet service,No,No internet service,No internet service,Two year,No,26.25,No
No,46,No,No,DSL,Yes,Yes,One year,Yes,69.1,No
Yes,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.65,No
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.9,Yes
Yes,70,Yes,No,DSL,Yes,Yes,Two year,No,59.5,No
Yes,64,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.8,No
No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,74.95,No
No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,114.1,No
No,1,No,No,Fiber optic,Yes,No,Month-to-month,No,94.4,Yes
No,2,No,No,Fiber optic,Yes,No,Month-to-month,No,76.4,Yes
Yes,59,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.45,No
No,52,No,No,Fiber optic,No,No,Month-to-month,Yes,72.95,No
Yes,72,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,109.2,No
No,47,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,67.45,No
No,2,No,No,Fiber optic,No,Yes,Month-to-month,Yes,94.2,Yes
Yes,46,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,110.2,No
Yes,55,Yes,Yes,DSL,No,Yes,Two year,No,57.55,Yes
Yes,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.45,No
Yes,9,No,No,Fiber optic,Yes,Yes,Month-to-month,No,103.1,No
No,33,Yes,No,Fiber optic,No,No,Month-to-month,Yes,90.65,No
Yes,19,No,No,Fiber optic,No,Yes,One year,Yes,100.95,Yes
No,15,No,No,DSL,No,No,Month-to-month,Yes,51.1,No
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,79.35,Yes
No,11,No,No,DSL,No,No,Month-to-month,Yes,44.65,No
Yes,38,Yes,Yes,DSL,No,No,Month-to-month,No,54.5,No
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,85.7,Yes
Yes,63,Yes,No,DSL,No,No,Two year,Yes,50.65,No
No,63,Yes,No,DSL,No,Yes,One year,No,36.1,No
No,2,No,No,DSL,Yes,Yes,Month-to-month,No,76.4,Yes
No,22,No,No,Fiber optic,No,No,One year,Yes,76.0,No
No,16,No,No,DSL,No,Yes,Month-to-month,Yes,49.95,Yes
Yes,33,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.15,No
No,64,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.05,No
No,48,Yes,No,DSL,Yes,No,Month-to-month,Yes,45.3,Yes
No,24,No,No,Fiber optic,No,No,Month-to-month,Yes,79.85,No
Yes,71,Yes,No,DSL,Yes,Yes,Two year,Yes,70.85,No
Yes,48,No,Yes,DSL,Yes,No,Month-to-month,No,45.55,No
Yes,0,Yes,No,DSL,Yes,Yes,Two year,Yes,52.55,No
No,68,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,110.0,Yes
No,57,No,Yes,Fiber optic,Yes,No,One year,Yes,90.65,No
No,11,Yes,Yes,DSL,No,No,Month-to-month,No,60.25,No
Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,114.6,No
No,46,Yes,Yes,DSL,No,No,Month-to-month,No,45.55,No
No,9,Yes,No,DSL,No,Yes,Month-to-month,No,64.95,No
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.3,No
Yes,48,Yes,No,Fiber optic,Yes,No,One year,Yes,99.7,No
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.2,No
No,65,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.4,No
No,72,No,No,DSL,Yes,No,Two year,Yes,73.45,No
No,39,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.45,No
Yes,4,No,No,DSL,No,No,Month-to-month,Yes,50.9,Yes
No,24,No,No,Fiber optic,No,No,Month-to-month,No,70.0,No
Yes,43,Yes,No,DSL,Yes,No,Two year,No,75.2,No
No,1,Yes,No,DSL,No,No,Month-to-month,No,49.75,No
No,21,No,Yes,DSL,No,Yes,Month-to-month,Yes,36.0,No
No,24,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,84.85,No
No,13,No,No,Fiber optic,No,No,Month-to-month,No,70.45,No
No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,89.5,Yes
No,3,No,No,DSL,No,Yes,Month-to-month,Yes,29.9,No
No,51,No,No,Fiber optic,No,No,Month-to-month,No,83.4,No
No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.9,No
No,2,No,No,DSL,No,No,Month-to-month,Yes,25.05,Yes
No,24,No,No,Fiber optic,No,No,Month-to-month,Yes,93.55,Yes
No,26,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.65,No
No,69,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,107.2,No
No,69,No,Yes,Fiber optic,No,No,One year,Yes,95.65,No
No,10,No,No,Fiber optic,No,No,Month-to-month,Yes,85.25,Yes
No,3,No,No,Fiber optic,No,No,Month-to-month,No,75.0,Yes
No,1,No,No,DSL,No,No,Month-to-month,Yes,50.1,Yes
No,38,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,84.25,Yes
No,1,No,Yes,Fiber optic,No,No,Month-to-month,Yes,90.85,Yes
Yes,55,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.1,No
Yes,18,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.25,No
No,38,No,No,Fiber optic,No,No,Month-to-month,No,94.75,No
No,10,No,No,Fiber optic,No,No,Month-to-month,No,70.15,No
Yes,53,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.9,No
No,37,No,No,DSL,Yes,No,Month-to-month,Yes,40.2,No
No,46,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,21.1,No
